"gene_id"	"gene_name"	"count"	"CPM"
"ENSG00000251977.1"	"RNU6-991P"	0	0
"ENSG00000162426.14"	"SLC45A1"	100.912717	4.6373713647135
"ENSG00000252254.1"	"RF00019"	0	0
"ENSG00000142599.17"	"RERE"	10529.8413276	483.891288424917
"ENSG00000232912.5"	"AL096855.1"	99.00595	4.54974725798193
"ENSG00000221083.1"	"RF00599"	0	0
"ENSG00000270282.1"	"AL096855.2"	0	0
"ENSG00000234619.1"	"RPL7P11"	3	0.137862843333616
"ENSG00000224315.2"	"RPL7P7"	31	1.42458271444736
"ENSG00000222511.2"	"RF00019"	0	0
"ENSG00000226545.1"	"AL357552.1"	7	0.321679967778437
"ENSG00000228423.2"	"AL357552.2"	4.50653	0.20709434645608
"ENSG00000229716.2"	"RPL23AP19"	0	0
"ENSG00000074800.15"	"ENO1"	1212.576493	55.7230810281614
"ENSG00000274258.1"	"MIR6728"	1	0.0459542811112053
"ENSG00000230679.1"	"ENO1-AS1"	7	0.321679967778437
"ENSG00000201725.1"	"RNU6-304P"	0	0
"ENSG00000238249.2"	"HMGN2P17"	0	0
"ENSG00000232208.2"	"AL139415.1"	0	0
"ENSG00000232663.2"	"AL139415.2"	0	0
"ENSG00000131686.14"	"CA6"	2.75	0.126374273055814
"ENSG00000265141.2"	"RN7SL451P"	0	0
"ENSG00000197241.3"	"SLC2A7"	5.5	0.252748546111629
"ENSG00000142583.17"	"SLC2A5"	33.81239	1.55382407510171
"ENSG00000252404.1"	"RF00424"	0	0
"ENSG00000180758.11"	"GPR157"	437.607893	20.1099561314042
"ENSG00000228526.7"	"MIR34AHG"	156.04728	7.17104057175896
"ENSG00000284357.1"	"MIR34A"	0	0
"ENSG00000234546.3"	"LNCTAM34A"	17	0.781222778890489
"ENSG00000049239.12"	"H6PD"	1477.60753	67.9023918056537
"ENSG00000171621.13"	"SPSB1"	385.1043	17.6971912593339
"ENSG00000284652.1"	"BX323043.1"	1	0.0459542811112053
"ENSG00000284693.1"	"AL928921.2"	46.02552	2.1150696843694
"ENSG00000252956.1"	"RNA5SP40"	0	0
"ENSG00000235263.1"	"AL928921.1"	2	0.0919085622224105
"ENSG00000171612.6"	"SLC25A33"	982.861903	45.1667121839562
"ENSG00000231181.1"	"AL954705.1"	5	0.229771405556026
"ENSG00000188807.12"	"TMEM201"	33	1.51649127666977
"ENSG00000171608.15"	"PIK3CD"	73.77457	3.39025732863829
"ENSG00000179840.5"	"PIK3CD-AS1"	0	0
"ENSG00000233268.3"	"AL691449.1"	3.5	0.160839983889218
"ENSG00000231789.2"	"PIK3CD-AS2"	24.08117	1.10663285566672
"ENSG00000171603.17"	"CLSTN1"	141.493814	6.50224650405259
"ENSG00000271264.1"	"MZT1P1"	0	0
"ENSG00000280113.2"	"AL357140.3"	3	0.137862843333616
"ENSG00000178585.14"	"CTNNBIP1"	717.668843	32.9799557559754
"ENSG00000223989.1"	"AL357140.1"	0	0
"ENSG00000285701.1"	"AL357140.5"	70.20735	3.22632829797278
"ENSG00000162441.11"	"LZIC"	306.63021	14.0909708675279
"ENSG00000228150.1"	"AL357140.2"	23.363311	1.07364416138251
"ENSG00000173614.13"	"NMNAT1"	505.53753	23.2316137658844
"ENSG00000202415.1"	"RN7SKP269"	1	0.0459542811112053
"ENSG00000283611.2"	"AL357140.4"	150.34853	6.90915861227648
"ENSG00000265521.1"	"MIR5697"	0	0
"ENSG00000241326.1"	"AL603962.1"	2	0.0919085622224105
"ENSG00000162444.11"	"RBP7"	34.09407	1.56676847700511
"ENSG00000130939.18"	"UBE4B"	2874.84311	132.111348427552
"ENSG00000224340.1"	"AL590639.1"	0	0
"ENSG00000233623.2"	"PGAM1P11"	0	0
"ENSG00000201746.1"	"RNU6-828P"	0	0
"ENSG00000054523.17"	"KIF1B"	5616.7015	258.111479648728
"ENSG00000264881.1"	"MIR1273D"	0	0
"ENSG00000199562.1"	"RNU6-37P"	8.67415319999999	0.39861447455446
"ENSG00000264501.2"	"RN7SL731P"	2	0.0919085622224105
"ENSG00000284735.1"	"AL139424.3"	129.62407	5.95678095155855
"ENSG00000284642.1"	"AL139424.2"	56	2.57343974222749
"ENSG00000142657.20"	"PGD"	319.19532	14.6683914646611
"ENSG00000271989.1"	"AL139424.1"	0	0
"ENSG00000251503.8"	"CENPS-CORT"	66.86623	3.07278953026651
"ENSG00000175279.21"	"CENPS"	50.80004	2.33447931862047
"ENSG00000241563.3"	"CORT"	3	0.137862843333616
"ENSG00000160049.11"	"DFFA"	570.04135	26.1958404429109
"ENSG00000203469.2"	"AL354956.1"	5	0.229771405556026
"ENSG00000142655.12"	"PEX14"	4151.44112	190.776492245097
"ENSG00000243267.3"	"RN7SL614P"	3	0.137862843333616
"ENSG00000130940.14"	"CASZ1"	214.333623	9.84954756292509
"ENSG00000272078.1"	"AL139423.1"	20	0.919085622224105
"ENSG00000225158.2"	"HSPE1P24"	0	0
"ENSG00000175262.14"	"C1orf127"	8.17094	0.375489673702792
"ENSG00000215785.2"	"CFL1P6"	6	0.275725686667232
"ENSG00000120948.17"	"TARDBP"	929.57411	42.7179099646384
"ENSG00000277726.4"	"AL109811.4"	445.56974	20.4758370866066
"ENSG00000009724.16"	"MASP2"	2236.3279	102.768840973431
"ENSG00000271895.2"	"AL109811.3"	89.48938	4.11242012498747
"ENSG00000116649.9"	"SRM"	389	17.8762153522588
"ENSG00000171824.13"	"EXOSC10"	365.009413	16.773745173238
"ENSG00000226849.1"	"AL109811.1"	211	9.69635331446431
"ENSG00000230337.1"	"AL109811.2"	1	0.0459542811112053
"ENSG00000198793.12"	"MTOR"	1515.52169	69.6447097723889
"ENSG00000225602.5"	"MTOR-AS1"	32.00341	1.47069369965716
"ENSG00000253086.1"	"RNU6-537P"	0	0
"ENSG00000171819.4"	"ANGPTL7"	47	2.15985121222665
"ENSG00000207451.1"	"RNU6-291P"	0	0
"ENSG00000238173.1"	"RPL39P6"	0	0
"ENSG00000120942.13"	"UBIAD1"	219.45548	10.0849188193145
"ENSG00000238199.1"	"UBE2V2P3"	2	0.0919085622224105
"ENSG00000284646.1"	"AL031291.1"	2.666666	0.122544718993693
"ENSG00000224338.2"	"MTCYBP45"	0	0
"ENSG00000204624.7"	"DISP3"	3.166667	0.145521905503577
"ENSG00000285833.1"	"AL590989.1"	0	0
"ENSG00000235643.1"	"LINC01647"	1	0.0459542811112053
"ENSG00000284708.1"	"AL031731.1"	137.29778	6.30942077806441
"ENSG00000116661.10"	"FBXO2"	306	14.0620100200288
"ENSG00000132879.13"	"FBXO44"	339.17647	15.5866108486863
"ENSG00000116663.10"	"FBXO6"	194.46949	8.93670561101272
"ENSG00000116670.14"	"MAD2L2"	88.04651	4.04611407140055
"ENSG00000162490.6"	"DRAXIN"	14.95237	0.687125414258752
"ENSG00000177674.15"	"AGTRAP"	57	2.6193940233387
"ENSG00000215910.7"	"C1orf167"	7.05492	0.324203776897064
"ENSG00000177553.6"	"AL953897.1"	3	0.137862843333616
"ENSG00000177000.12"	"MTHFR"	457.16139	21.0085230292493
"ENSG00000011021.22"	"CLCN6"	523.534199	24.0586377521757
"ENSG00000276470.1"	"RF02156"	0	0
"ENSG00000278852.1"	"RF02157"	0	0
"ENSG00000175206.10"	"NPPA"	52.03011	2.39100630118693
"ENSG00000275915.1"	"RF02158"	0	0
"ENSG00000120937.8"	"NPPB"	0	0
"ENSG00000224904.1"	"AL021155.1"	0	0
"ENSG00000285646.1"	"AL021155.2"	13.5119	0.620929650946494
"ENSG00000199347.1"	"RNU5E-1"	1.5	0.0689314216668079
"ENSG00000201801.1"	"RNU5E-4P"	0	0
"ENSG00000116685.15"	"KIAA2013"	454.5	20.8862207650428
"ENSG00000083444.16"	"PLOD1"	355.40854	16.332543956483
"ENSG00000116688.16"	"MFN2"	432.3818	19.8697947845689
"ENSG00000270914.1"	"AL096840.1"	0	0
"ENSG00000116691.10"	"MIIP"	153.7962	7.06759380863515
"ENSG00000202461.1"	"RF00019"	1	0.0459542811112053
"ENSG00000276869.1"	"MIR6729"	0	0
"ENSG00000243539.3"	"RN7SL649P"	0	0
"ENSG00000120949.14"	"TNFRSF8"	16.007683	0.735621564521062
"ENSG00000201135.1"	"RNU6-777P"	0	0
"ENSG00000227875.2"	"RPL23AP89"	0	0
"ENSG00000285604.1"	"AL357835.1"	0	0
"ENSG00000283789.1"	"MIR7846"	0	0
"ENSG00000028137.18"	"TNFRSF1B"	347.8430291	15.9848763418346
"ENSG00000263676.1"	"MIR4632"	0	0
"ENSG00000225196.2"	"RPL10P17"	0	0
"ENSG00000252969.1"	"RF00156"	0	0
"ENSG00000048707.15"	"VPS13D"	4060.82862	186.612459947908
"ENSG00000239149.1"	"SNORA59A"	6	0.275725686667232
"ENSG00000229484.1"	"AC243836.1"	6	0.275725686667232
"ENSG00000162496.8"	"DHRS3"	2134.52832	98.0907144571087
"ENSG00000221340.1"	"RNU6ATAC18P"	0	0
"ENSG00000276830.1"	"MIR6730"	0	0
"ENSG00000272482.1"	"AC254633.1"	7	0.321679967778437
"ENSG00000204518.2"	"AADACL4"	2	0.0919085622224105
"ENSG00000226166.2"	"AC244670.1"	0	0
"ENSG00000188984.11"	"AADACL3"	2.5	0.114885702778013
"ENSG00000157330.9"	"C1orf158"	0	0
"ENSG00000116726.4"	"PRAMEF12"	0	0
"ENSG00000116721.9"	"PRAMEF1"	0	0
"ENSG00000228338.1"	"LINC01784"	0	0
"ENSG00000239810.3"	"PRAMEF11"	0	0
"ENSG00000231103.2"	"PRAMEF30P"	0.166667	0.00765906216996125
"ENSG00000179172.9"	"HNRNPCL1"	0	0
"ENSG00000120952.4"	"PRAMEF2"	0	0
"ENSG00000243073.3"	"PRAMEF4"	0.5	0.0229771405556026
"ENSG00000187545.5"	"PRAMEF10"	3	0.137862843333616
"ENSG00000204510.5"	"PRAMEF7"	0	0
"ENSG00000207434.1"	"RNU6-1072P"	0	0
